name,abbrv,color,coauthored
Glen Deakin,G. Deakin,#E123FF,1
M. Caltabiano,M. Caltabiano,#2DCDC1,5
Teagan Maher,T. Maher,#A15A28,1
Edward Helmes,E. Helmes,#C7F0AF,10
Sally Ruston,S. Ruston,#796B06,1
Cate Fitzgerald,C. Fitzgerald,#C5A3DC,1
Rebecca Sealey,R. Sealey,#EAA5B0,5
Alex Edelman,A. Edelman,#B1BEB0,2
Jacqui Broadbridge,J. Broadbridge,#8EA1C9,1
Julie-May Brown,J. Brown,#554A0E,4
Lynn E. Priddis,L. Priddis,#D61637,1
Kenji Doma,K. Doma,#7EC78C,1
Anton Sklavos,A. Sklavos,#4C721E,1
Nonie Harris,N. Harris,#A2D1DB,2
H. Anscomb,H. Anscomb,#7C15CF,2
Sakina Bindahneem,S. Bindahneem,#905318,1
Trudy Dwyer,T. Dwyer,#652181,1
Siann Bowman,S. Bowman,#067730,5
Jackie Eagers,J. Eagers,#6AE968,1
Steven Fein,S. Fein,#5FA868,1
Margaret Gatling,M. Gatling,#A60782,1
Glenora Lea Erb,G. Erb,#D4F4F6,1
Renee Henry,R. Henry,#B5F888,2
Jayne S. Webster,J. Webster,#22DFBC,1
Elizabeth Heyer,E. Heyer,#7212DE,18
Bruce K. Schefft,B. Schefft,#7F90FE,1
Yvonne Thomas,Y. Thomas,#C2C38D,2
Barbara Parker,B. Parker,#CF1BA0,1
Amanda Kenny,A. Kenny,#B5DB54,1
Wade Sinclair,W. Sinclair,#2A041B,34
Karyn Bentley,K. Bentley,#26AD84,1
Gail Wells,G. Wells,#B01E50,1
Julie Newton,J. Newton,#12A755,1
Tracy Levett-Jones,T. Levett-Jones,#3F11C5,1
Jodie Copley,J. Copley,#1189B9,1
Michelle Redman-MacLaren,M. Redman-MacLaren,#033F14,2
Jackie Boehm,J. Boehm,#9DABD7,1
Marianne Bonassi,M. Bonassi,#200D83,27
David Stanley,D. Stanley,#667562,1
Grace Tirendi,G. Tirendi,#49B190,1
M. George,M. George,#F2E812,1
Barbara Kozier,B. Kozier,#7BD8B4,1
Sarah Larkins,S. Larkins,#5280BF,1
Evangelina E. Ballini,E. Ballini,#6B9437,2
Lorna Moxham,L. Moxham,#7A7E21,1
Maria E. Czira,M. Czira,#AAD86A,2
