Login 1,Family Name 1,Given Name 1,ORGU 1,Pub ID,Login 2,Family Name 2,Given Name 2,Cat,ORGU 2,Organisation
admjg1,George,M.,2125,30693,psmlc,Caltabiano,M.,external,0001,
art-css,Diamond,Caroline,2125,37595,psnjc,Caltabiano,Nerina,staff,2125,
art-css,Diamond,Caroline,2125,37595,psmlc,Caltabiano,Marie,staff,2125,
art-djh,Harvey,Desley,2100,32060,jc237152,Pighills,Alison C.,staff,2100,
art-djh,Harvey,Desley,2100,32060,jc230786,Plummer,David,staff,2100,
art-djh,Harvey,Desley,2100,32060,jc183627,Pain,Tilley,staff,2131,
art-djh,Harvey,Desley,2100,32362,jc230786,Plummer,David,staff,2100,
art-djh,Harvey,Desley,2100,32362,jc237152,Pighills,Alison,staff,2100,
art-djh,Harvey,Desley,2100,32362,jc183627,Pain,Tilley,staff,2131,
art-djh,Harvey,Desley,0001,33469,swnmh,Harris,Nonie,staff,2223,
art-djh,Harvey,Desley,0001,33469,X11683,Ponnuswami,Ilango,external,0001,"Bharathidasan University, IND"
art-djh,Harvey,Desley,,35446,swnmh,Harris,Nonie,staff,2223,
art-djh,Harvey,Desley,,35446,X11683,Ponnuswami,Ilango,external,,"Bharathidasan University, IND"
art-djh,Harvey,Desley,2120,37604,jc239246,Hayles,Emily,student,2121,
art-djh,Harvey,Desley,2120,37604,jc230786,Plummer,David,external,,Griffith University
art-djh,Harvey,Desley,2120,37604,jc156217,Jones,Anne,staff,2121,
art-djh,Harvey,Desley,2120,37605,jc239246,Hayles,Emily,student,2121,
art-djh,Harvey,Desley,2120,37605,jc156217,Jones,Anne,staff,2121,
art-djh,Harvey,Desley,2120,37605,jc230786,Plummer,David,staff,2100,
art-djh,Harvey,Desley,2120,37605,jc170118,Ruston,Sally,staff,2121,La Trobe University
art-djh,Harvey,Desley,2120,41827,jc183627,Pain,Tilley,staff,2131,
art-djh,Harvey,Desley,2120,41827,jc230786,Plummer,David,staff,2111,
art-djh,Harvey,Desley,2120,41827,jc237152,Pighills,Alison,staff,2100,
art-djh,Harvey,Desley,2120,43158,jc239246,Hayles,Emily,external,,Mackay Base Hospital
art-djh,Harvey,Desley,2120,43158,jc230786,Plummer,David,external,2111,Griffith University
art-djh,Harvey,Desley,2120,43158,jc156217,Jones,Anne,staff,2121,
art-eeb,Ballini,Evangelina E.,2125,41278,jc133798,Helmes,Edward,staff,2125,
art-eeb,Ballini,Evangelina E.,2125,41278,,Schefft,Bruce K.,external,,"University of Cincinnati - Cincinnati, USA"
art-fac1,Croker,F.,2132,37599,psmlc,Caltabiano,M.,staff,2125,
art-fac1,Croker,F.,2132,37599,jc155593,Page,Lauren,student,2130,
art-fac1,Croker,F.,2132,37599,jc221532,Spiteri,Jade,student,2130,
art-fac1,Croker,F.,2132,37599,jc246942,Hanrahan,Louise,student,2130,
art-fac1,Croker,F.,2132,37599,jc223715,Choi,Richard,student,2130,
art-fac1,Croker,F.,2132,37599,jc223914,Sklavos,Anton,student,2130,
art-fac1,Croker,Felicity,2132,45139,jc205178,Sandham,Andrew,external,,James Cook University
art-fac1,Croker,Felicity,2132,45125,,Kenny,Amanda,external,,La Trobe University
art-fac1,Croker,Felicity,2132,45125,,Swift,Virginia,external,,La Trobe University
art-fac1,Croker,Felicity,2132,45125,X02224,Farmer,Jane,external,,La Trobe University
art-fac1,Croker,Felicity,2132,45125,jc254500,Carlisle,Karen,external,2131,Townsville Mackay Medicare Local
art-fac1,Croker,Felicity,2132,45125,jc128010,Larkins,Sarah,staff,2131,
art-fac1,Croker,Felicity,2132,45125,,Gussy,Mark,external,,La Trobe University
art-fac1,Croker,Felicity,2132,45125,pujke,Elston,Jacinta,staff,2102,
art-fac1,Croker,Felicity,2132,45132,jc235506,Davis,S.R.,staff,2100,
art-fac1,Croker,Felicity,2132,45132,jc157749,Edelman,Alex,student,,
art-fac1,Croker,Felicity,2132,45170,jc235506,Davis,Scott,staff,2100,
art-fac1,Croker,Felicity,2132,45170,jc157749,Edelman,Alex,student,,
art-ik,Flockhart,I.,2125,40156,jc133798,Helmes,E.,staff,2125,
art-ik,Flockhart,I.,2125,40156,psnjc,Caltabiano,N.,staff,2125,
art-jyb,Brown,Julie-May,2125,37117,jc133798,Helmes,Edward,staff,2125,
art-jyb,Brown,Julie-May,2125,37117,jc218479,Elliott,Linda,student,2125,James Cook University
art-kam2,McBain,Kerry Anne,2125,34903,jc221487,Hewitt,Lena,student,,
art-kam2,McBain,Kerry Anne,2125,34903,jc222102,Maher,Teagan,student,,
art-kam2,McBain,Kerry Anne,2125,34903,jc218608,Sypher,Shannon,student,,
art-kam2,McBain,Kerry Anne,2125,34903,jc221553,Tirendi,Grace,student,,
art-kam2,McBain,Kerry Anne,2125,38269,,Kassin,Saul,external,,"Williams College, MA, USA"
art-kam2,McBain,Kerry Anne,2125,38269,,Fein,Steven,external,,"Williams College, MA, USA"
art-kam2,McBain,Kerry Anne,2125,38269,,Markus,Hazel Rose,external,,"Stanford University, USA"
art-kam2,McBain,Kerry Anne,2125,38269,X14594,Williams,Lisa A.,external,,The University of New South Wales
art-kam2,McBain,Kerry Anne,2125,41346,jc145881,Buckby,Beryl,staff,2125,
art-kam2,McBain,Kerry,2125,40764,jc186285,O'Hare,Deirdre,student,2120,James Cook University
art-kam2,McBain,Kerry,2125,40764,,Eapen,Valsamma,external,,The University of New South Wales
art-kam2,McBain,Kerry,2125,40764,jc133798,Helmes,Edward,staff,2125,
art-kam2,McBain,Kerry,2125,40764,,Reece,John,external,,"Australian College of Applied Psychology, Australia"
art-kam2,McBain,Kerry,2125,40764,,Grove,Rachel,external,,The University of New South Wales
art-kam2,McBain,Kerry,2125,41221,jc186285,O'Hare,Deirdre,student,2120,
art-kam2,McBain,Kerry,2125,41221,jc133798,Helmes,Edward,staff,2125,
art-kam2,McBain,Kerry,2125,41221,,Eapen,Valsamma,external,,The University of New South Wales
art-kam2,McBain,Kerry,2125,41221,,Groves,Rachel,external,,The University of New South Wales
art-kam2,McBain,Kerry,2125,41221,,Reece,John,external,,"Australian College of Applied Psychology, VIC"
art-kam2,McBain,Kerry,2125,42260,jc186285,O'Hare,Deirdre,student,2120,
art-kam2,McBain,Kerry,2125,42260,,Eapen,Valsemma,external,,University of New South Wales & Ingham Institute
art-kam2,McBain,Kerry,2125,42260,,Grove,Rachel,external,,University of New South Wales & Ingham Institute
art-kam2,McBain,Kerry,2125,42260,jc133798,Helmes,Edward,staff,2125,
art-kam2,McBain,Kerry,2125,42260,,Reece,John,external,,"School of Psychological Sciences, Australian College of Applied Psychology"
art-kam2,McBain,Kerry,2125,43459,jc186285,O'Hare,Deirdre,student,2120,
art-kam2,McBain,Kerry,2125,43459,jc133798,Helmes,Edward,staff,2125,
art-kam2,McBain,Kerry,2125,43459,,Reece,John,external,,Australian College of Applied Psychology
art-kam2,McBain,Kerry,2125,43459,,Eapen,Valsamma,external,,The University of New South Wales
art-kam2,McBain,Kerry,2125,44130,jc186285,O'Hare,Deirdre,student,2120,
art-kam2,McBain,Kerry,2125,44130,,Eapen,Valsamma,external,,The University of New South Wales
art-kam2,McBain,Kerry,2125,44130,jc133798,Helmes,Edward,staff,2125,
art-kam2,McBain,Kerry,2125,44130,,Reece,John,external,,Australian College of Applied Psychology
art-kam2,McBain,Kerry,2125,44130,,Grove,Rachel,external,,The University of New South Wales
art-knc,Cheshire,Kim N.,2125,43124,jc133798,Helmes,Edward,staff,2125,
art-knc,Cheshire,Kim N.,2125,43124,,Walters,Anne I.,external,,Edith Cowan University
art-tcs,McKirdy,Tania,2125,37594,psmlc,Caltabiano,Marie Louise,staff,2125,
bmh-emh1,Heyer,Elizabeth,2120,30867,jc136280,Laffin,Nadine,student,2120,James Cook University
bmh-emh1,Heyer,Elizabeth,2120,30867,jc144332,Smyth,Wendy,staff,2120,Townsville Health Service District
bmh-emh1,Heyer,Elizabeth,2120,30867,jc174198,Gardner,Anne,external,0001,Australian Catholic University
bmh-emh1,Heyer,Elizabeth,2120,30867,jc227605,Abernethy,Gail,student,2120,Townsville Health Service District
bmh-emh1,Heyer,Elizabeth,2120,30867,,Fasugba,Oyebola,external,0001,Australian Catholic University
bmh-emh1,Heyer,Elizabeth,2120,30870,X09498,Laffin,Nadine,external,2120,Jsmes Cook University
bmh-emh1,Heyer,Elizabeth,2120,30870,jc144332,Smyth,Wendy,staff,2120,Townsville Health Service District
bmh-emh1,Heyer,Elizabeth,2120,30870,jc174198,Gardner,Anne,external,0001,Australian Catholic University
bmh-emh1,Heyer,Elizabeth,2120,30870,jc227605,Abernethy,Gail,student,2120,Townsville Health Service District
bmh-emh1,Heyer,Elizabeth,2120,30870,,Fasugba,Oyebola,external,0001,Australian Catholic University
bmh-emh1,Heyer,Elizabeth,2120,32277,jc136280,Laffin,Nadine,staff,2120,Townsville Health Service District
bmh-emh1,Heyer,Elizabeth,2120,32277,jc144332,Smyth,Wendy,staff,2120,Townsville Health Service District
bmh-emh1,Heyer,Elizabeth,2120,32277,,Fasugba,Oyebola,external,0001,Australian Catholic University
bmh-emh1,Heyer,Elizabeth,2120,32277,jc227605,Abernethy,Gail,staff,2120,Townsville Health Service District
bmh-emh1,Heyer,Elizabeth,2120,32277,jc174198,Gardner,Anne,external,0001,Australian Catholic University
bmh-emh1,Heyer,Elizabeth,2124,33223,jc144332,Smyth,Wendy,staff,2124,
bmh-emh1,Heyer,Elizabeth,2124,33223,jc136280,Laffin,Nadine,staff,2124,
bmh-emh1,Heyer,Elizabeth,2124,33223,jc174198,Gardner,Anne,external,,Australian Catholic University
bmh-tmp,Park,Tanya,2124,23390,nskju,Usher,Kim,staff,2124,
bmh-tmp,Park,Tanya,2124,23390,jc137670,Foster,Kim,external,0001,The University of Sydney
bmh-tmp,Park,Tanya,2124,23390,pupb,Buttner,Petra,staff,2111,
bmh-tmp,Park,Tanya,2124,28400,jc158994,Nurjannah,Intansari,student,2124,
bmh-tmp,Park,Tanya,2124,28400,jc138020,Mills,Jane,staff,2124,
bmh-tmp,Park,Tanya,2124,28400,nskju,Usher,Kim,staff,2124,
bmh-tmp,Park,Tanya,2124,31217,jc128068,Felton-Busch,Catrina,staff,2102,
bmh-tmp,Park,Tanya,2124,31217,jc225407,Maza,Karen,student,2102,James Cook University
bmh-tmp,Park,Tanya,2124,31217,jc199162,Ghee,McCauley,student,2124,James Cook University
bmh-tmp,Park,Tanya,2124,31217,jc214345,Mills,Frances,staff,2124,James Cook University
bmh-tmp,Park,Tanya,2124,31217,jc138020,Mills,Jane,staff,2124,
bmh-tmp,Park,Tanya,2124,31217,,Hitchens,Marnie,external,0001,James Cook University
bmh-tmp,Park,Tanya,2124,31217,jc145680,Chamberlain-Salaun,Jennifer,staff,2124,
bmh-tmp,Park,T.,2124,30258,nskju,Usher,K.,staff,2124,
bmh-tmp,Park,T.,2124,30258,jc137670,Foster,K.,external,0001,The University of Sydney
bmh-tmp,Park,Tanya,2124,31795,jc135325,Woods,Cindy,staff,2124,
bmh-tmp,Park,Tanya,2124,31795,nskju,Usher,Kim,staff,2124,
bmh-tmp,Park,Tanya,2124,31795,jc138020,Mills,Jane,staff,2124,
bmh-tmp,Park,Tanya,2124,31795,jc157944,West,Caryn,staff,2124,
bmh-tmp,Park,Tanya,2124,32756,jc158994,Nurjannah,Intansari,student,2124,
bmh-tmp,Park,Tanya,2124,32756,jc138020,Mills,Jane,staff,2124,
bmh-tmp,Park,Tanya,2124,32756,,Usher,Kim,external,0001,University of New England
bmh-tmp,Park,Tanya,2124,31228,jc138020,Mills,Jane,staff,2124,
bmh-tmp,Park,Tanya,2124,31228,jc128068,Felton-Busch,Catrina,staff,2102,
bmh-tmp,Park,Tanya,2124,31228,jc225407,Maza,Karen,staff,2102,
bmh-tmp,Park,Tanya,2124,31228,jc214345,Mills,Frances,staff,2124,James Cook University
bmh-tmp,Park,Tanya,2124,31228,jc199162,Ghee,McCauley,staff,2124,
bmh-tmp,Park,Tanya,2124,31228,jc146700,Hitchins,Marnie,staff,2124,
bmh-tmp,Park,Tanya,2124,31228,jc145680,Chamberlain-Salaun,Jennifer,staff,2124,
bmh-tmp,Park,Tanya,2124,31228,jc142918,Neuendorf,Nalisa,student,2222,
bmh-tmp,Park,Tanya,2124,34457,jc135325,Woods,Cindy,staff,2124,
bmh-tmp,Park,Tanya,2124,34457,jc157944,West,Caryn,staff,2124,
bmh-tmp,Park,Tanya,2124,34457,jc138020,Mills,Jane,staff,2124,
bmh-tmp,Park,Tanya,2124,34457,jc165618,Southern,Joanne,staff,2124,
bmh-tmp,Park,Tanya,2124,34457,nskju,Usher,Kim,staff,2124,
bmh-tmp,Park,Tanya,2124,35342,jc138020,Mills,Jane,staff,2124,
bmh-tmp,Park,Tanya,2124,35342,jc128068,Felton-Busch,Catrina,staff,2102,
bmh-tmp,Park,Tanya,2124,35342,jc225407,Maza,Karen,staff,2102,
bmh-tmp,Park,Tanya,2124,35342,jc214345,Mills,Frances,staff,2124,
bmh-tmp,Park,Tanya,2124,35342,,Ghee,McCauley,external,,Queensland Health
bmh-tmp,Park,Tanya,2124,35342,jc146700,Hitchins,Marnie,staff,2124,
bmh-tmp,Park,Tanya,2124,35342,jc145680,Chamberlain-Salaun,Jennifer,staff,2124,
bmh-tmp,Park,Tanya,2124,35344,jc158994,Nurjannah,Intansari,staff,2124,
bmh-tmp,Park,Tanya,2124,35344,jc138020,Mills,Jane,staff,2124,
bmh-tmp,Park,Tanya,2124,35344,nskju,Usher,Kim,external,,The University of New England
bmh-tmp,Park,Tanya,2124,35264,nskju,Usher,Kim,external,,The University of New England
bmh-tmp,Park,Tanya,2124,35264,jc237401,Trueman,Scott,staff,2124,
bmh-tmp,Park,Tanya,2124,35264,jc158071,Redman-MacLaren,Michelle,staff,2124,
bmh-tmp,Park,Tanya,2124,35264,jc240698,Casella,Evan,student,2124,
bmh-tmp,Park,Tanya,2124,35264,jc135325,Woods,Cindy,staff,2124,
bmh-tmp,Park,Tanya,2124,37151,jc270942,Birks,Melanie,staff,2124,
bmh-tmp,Park,Tanya,2124,37151,nslmb,Budden,Lea M.,staff,2124,
bmh-tmp,Park,Tanya,2124,37151,,Simes,Tracey,external,,University of Noosa
bmh-tmp,Park,Tanya,2124,37151,jc144130,Bagley,Tracy,student,2124,
bmh-tmp,Park,Tanya,2124,37815,jc270942,Birks,Melanie,staff,2124,
bmh-tmp,Park,Tanya,2124,37815,nslmb,Budden,Lea,staff,2124,
bmh-tmp,Park,Tanya,2124,37815,,Bagley,Tracy,external,,Not Specified
bmh-tmp,Park,Tanya,2124,37815,,Simes,Tracey,external,,Not Specified
bmh-tmp,Park,Tanya,2124,42916,,Kozier,Barbara,external,,Not Specified
bmh-tmp,Park,Tanya,2124,42916,X16179,Erb,Glenora Lea,external,,Not Specified
bmh-tmp,Park,Tanya,2124,42916,,Berman,Audrey,external,,"Samuel Merritt College, USA"
bmh-tmp,Park,Tanya,2124,42916,X16176,Snyder,Shirlee,external,,"Nevada State College, USA"
bmh-tmp,Park,Tanya,2124,42916,X04560,Levett-Jones,Tracy,external,,The University of Newcastle
bmh-tmp,Park,Tanya,2124,42916,,Dwyer,Trudy,external,,Central Queensland University
bmh-tmp,Park,Tanya,2124,42916,,Hales,Majella,external,,Australian Catholic University
bmh-tmp,Park,Tanya,2124,42916,jc119976,Harvey,Nicole,staff,2124,
bmh-tmp,Park,Tanya,2124,42916,X01807,Moxham,Lorna,external,,Central Queensland University
bmh-tmp,Park,Tanya,2124,42916,,Parker,Barbara,external,,University of South Australia
bmh-tmp,Park,Tanya,2124,42916,X11502,Reid-Searl,Kerry,external,,Central Queensland University
bmh-tmp,Park,Tanya,2124,42916,,Stanley,David,external,,The University of Western Australia
bmh-tmp,Park,Tanya,2124,42917,jc119976,Harvey,Nichole,staff,2124,
bmh-tmp,Park,Tanya,2124,42918,jc119976,Harvey,Nichole,staff,2124,
bmh-tmp,Park,Tanya,2124,42926,jc119976,Harvey,Nichole,staff,2124,
bmh-tmp,Park,Tanya,,41074,nskju,Usher,Kim,external,,The University of New England
bmh-tmp,Park,Tanya,,41074,jc138020,Mills,Jane,staff,2124,
bmh-tmp,Park,Tanya,,41074,jc157944,West,Caryn,staff,2124,
bmh-tmp,Park,Tanya,,41074,jc135325,Woods,Cindy,staff,2124,
bmh-tmp,Park,Tanya,2124,42391,nslmb,Budden,Lea M.,staff,2124,
bmh-tmp,Park,Tanya,2124,42391,jc270942,Birks,Melanie,staff,2124,
bmh-tmp,Park,Tanya,2124,42391,,Cant,Robyn,external,,Monash University
bmh-tmp,Park,Tanya,2124,42391,jc144130,Bagley,Tracy,staff,2100,
bmh-tmp,Park,T.,,36816,jc158994,Nurjannah,I.,student,2124,
bmh-tmp,Park,T.,,36816,jc138020,Mills,J.,staff,2124,
bmh-tmp,Park,T.,,36816,nskju,Usher,K.,external,,The University of New England
bmh-yact,Chun Tie,Ylona,2124,39565,jc270942,Birks,Melanie,staff,2124,
bmh-yact,Chun Tie,Ylona,2124,39565,,Ralph,Nicholas,external,,University of Southern Queensland
bmh-yact,Chun Tie,Ylona,2124,39565,,Cant,Robyn,external,,Monash University
bmh-yact,Chun Tie,Ylona,2124,39565,jc160672,Hillman,Elspeth,staff,2124,
jc111119,Lindsay,David,2124,21855,jc115870,Yates,Karen,external,0001,Cairns Base Hospital
jc111119,Lindsay,David,2124,21855,jc211745,Kelly,Jenny,staff,2111,
jc111119,Lindsay,David,2124,21855,nskju,Usher,Kim,staff,2124,
jc111119,Lindsay,David,2124,27959,nskju,Usher,Kim,staff,2124,
jc111119,Lindsay,David,2124,27959,jc157944,West,Caryn,staff,2124,
jc111119,Lindsay,David,2124,27959,X09596,MacManus,Mary,external,0001,"Auckland University of Technology, New Zealand"
jc111119,Lindsay,David,2124,27959,,Waqa,Silina,external,0001,"Ministry of Health, Fiji"
jc111119,Lindsay,David,2124,27959,jc140685,Stewart,Lee,staff,2124,
jc111119,Lindsay,David,2124,27959,jc227229,Henry,Renee,staff,2124,
jc111119,Lindsay,David,2124,27959,,Conaglen,Jo,external,0001,"Auckland University of Technology, New Zealand"
jc111119,Lindsay,David,2124,27959,X09597,Hall,Julianne,external,0001,"Auckland University of Technology, New Zealand"
jc111119,Lindsay,David,2124,27959,jc157769,McAuliffe,Marie,student,2124,James Cook University
jc111119,Lindsay,David,2124,27959,jc158071,Redman-MacLaren,Michelle,staff,2124,
jc111119,Lindsay,David,2124,31617,jc157457,Gatling,Margaret,student,2124,
jc111119,Lindsay,David,2124,31617,jc138020,Mills,Jane,staff,2124,
jc111119,Lindsay,David,2124,40876,jc144332,Smyth,Wendy,staff,2124,Queensland Health
jc111119,Lindsay,David,2124,40876,jc134134,Holmes,Colin,staff,2124,
jc111119,Lindsay,David,2124,40876,jc174198,Gardner,Anne,staff,2124,Australian Catholic University
jc111119,Lindsay,David,2124,44581,jc144332,Smyth,Wendy,external,,Townsville Health Service District
jc111119,Lindsay,David,2124,44581,jc134134,Holmes,Colin,staff,2124,
jc111119,Lindsay,David,2124,44581,jc174198,Gardner,Anne,staff,2124,Australian Catholic University
jc111119,Lindsay,David,2124,44581,,Rahman,Kazi Mizanur,external,,Griffith University
jc111769,Langtree,Tanya,2124,28246,jc138020,Mills,Jane,staff,2124,
jc111769,Langtree,Tanya,2124,28246,jc157944,West,Caryn,staff,2124,
jc111769,Langtree,Tanya,2124,28246,nskju,Usher,Kim,staff,2124,
jc111769,Langtree,Tanya,2124,28246,jc227229,Henry,Renee,staff,2124,
jc111769,Langtree,Tanya,2124,28246,jc145680,Chamberlain-Salaun,Jennifer,staff,2124,
jc111769,Langtree,Tanya,2124,28246,jc223002,Mason,Matt,staff,2124,
jc111769,Langtree,Tanya,2124,28198,jc139696,Baldwin,Adele,staff,2124,
jc111769,Langtree,Tanya,2124,28198,jc212261,Bentley,Karyn,staff,2124,
jc111769,Langtree,Tanya,2124,28198,jc138020,Mills,Jane,staff,2124,
jc112299,Bonassi,Marianne,2123,39535,jc223422,Boehm,Jackie,staff,2123,
jc112299,Bonassi,Marianne,2123,39535,jc162352,Tanner,Bronwyn,staff,2123,
jc112299,Bonassi,Marianne,2123,39535,jc258042,Lowrie,Daniel,staff,2123,
jc112299,Bonassi,Marianne,2123,39535,jc227100,Brown,Nicole,staff,2123,
jc112299,Bonassi,Marianne,2123,39535,X15153,Thomas,Yvonne,external,,"University of Worcester, United Kingdom"
jc112299,Bonassi,Marianne,2123,39535,jc248454,Cordier,Reinie,staff,2123,
jc112299,Bonassi,Marianne,2123,42010,X16636,Scanlan,Justin Newton,external,,The University of Sydney
jc112299,Bonassi,Marianne,2123,42010,,Pépin,Geneviève,external,,Deakin University
jc112299,Bonassi,Marianne,2123,42010,,Haracz,Kirsti,external,,The University of Newcastle
jc112299,Bonassi,Marianne,2123,42010,,Ennals,Priscilla,external,,La Trobe University
jc112299,Bonassi,Marianne,2123,42010,,Webster,Jayne S.,external,,"Otago Polytechnic, NZL"
jc112299,Bonassi,Marianne,2123,42010,,Meredith,Pamela J.,external,,The University of Queensland
jc112299,Bonassi,Marianne,2123,42010,,Batten,Rachel,external,,Edith Cowan University
jc112299,Bonassi,Marianne,2123,42010,,Bowman,Siann,external,,La Trobe University
jc112299,Bonassi,Marianne,2123,42010,,Bruce,Rosie,external,,University of the Sunshine Coast
jc112299,Bonassi,Marianne,2123,44396,,Hamilton,Anita,external,,University of the Sunshine Coast
jc112299,Bonassi,Marianne,2123,44396,,Copley,Jodie,external,,The University of Queensland
jc112299,Bonassi,Marianne,2123,44396,X15153,Thomas,Yvonne,external,,"University of Worcester, UK"
jc112299,Bonassi,Marianne,2123,44396,X05186,Edwards,Ann,external,,Mater Health Services
jc112299,Bonassi,Marianne,2123,44396,X05185,Broadbridge,Jacqui,external,,Commonwealth Rehabilitation Services
jc112299,Bonassi,Marianne,2123,44396,X11134,Fitzgerald,Cate,external,,Queensland Health
jc112299,Bonassi,Marianne,2123,44396,,Newton,Julie,external,,Occupational Therapy Australia
jc112299,Bonassi,Marianne,2123,44734,jc223422,Eagers,Jackie,staff,2123,James Cook University
jc112299,Bonassi,Marianne,2123,44734,,Kaesehagen,Colleen,external,,James Cook University
jc112299,Bonassi,Marianne,2123,44734,jc144747,Lasen,Michelle,staff,1310,
jc112299,Bonassi,Marianne,2123,44734,jc227100,Brown,Nicole,staff,2123,
jc112299,Bonassi,Marianne,2123,44734,sci-rmk,Sealey,Rebecca,staff,2126,
jc113544,Hall,Fiona,2125,44668,jc133798,Helmes,Edward,staff,2125,
jc114898,Mitchell,David,2220,21651,jc162366,Baune,Bernhard T.,external,0001,University of Adelaide
